Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C-PF,24,TOT,37,0,16.2,2.8,5.8,.479,0.4,1.4,.264,2.4,4.3,.550,.512,0.7,1.2,.587,2.0,3.2,5.2,1.3,0.5,0.5,1.0,1.6,6.6
Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7
Precious Achiuwa,PF,24,NYK,12,0,13.7,2.0,3.6,.558,0.1,0.5,.167,1.9,3.1,.622,.570,0.3,0.3,.750,2.0,2.6,4.6,0.4,0.3,0.6,0.8,1.5,4.3
Bam Adebayo,C,26,MIA,34,34,35.1,7.8,15.6,.498,0.0,0.3,.091,7.8,15.3,.507,.499,5.7,7.4,.780,2.3,8.3,10.6,4.4,1.1,1.0,2.5,2.6,21.4
Ochai Agbaji,SG,23,UTA,45,10,20.1,2.2,5.1,.435,1.0,3.0,.331,1.2,2.2,.577,.530,0.3,0.4,.750,0.8,1.8,2.5,0.9,0.6,0.6,0.7,1.4,5.8
Santi Aldama,PF,23,MEM,33,7,23.2,3.9,9.0,.432,1.5,4.5,.333,2.4,4.4,.534,.517,1.0,1.7,.618,1.2,4.4,5.5,1.8,0.7,0.8,1.1,1.6,10.3
Nickeil Alexander-Walker,SG,25,MIN,44,14,22.7,2.4,5.6,.429,1.4,3.8,.370,1.0,1.9,.549,.553,0.4,0.6,.704,0.4,1.4,1.8,2.5,0.9,0.6,1.0,1.8,6.6
Grayson Allen,SG,28,PHO,39,39,33.4,4.6,9.1,.510,2.8,5.7,.493,1.8,3.4,.538,.664,1.7,1.8,.903,0.8,3.4,4.2,3.0,0.9,0.6,1.4,2.1,13.7
Jarrett Allen,C,25,CLE,37,37,30.3,6.2,9.3,.661,0.0,0.0,.000,6.2,9.3,.663,.661,2.6,3.5,.750,3.5,6.8,10.3,3.0,0.9,1.1,1.8,2.4,14.9
Jose Alvarado,PG,25,NOP,27,0,16.0,2.4,5.9,.413,1.3,3.4,.396,1.1,2.6,.435,.525,0.7,1.1,.645,0.4,1.7,2.1,1.8,0.9,0.4,0.8,1.4,7.0
