Tm,Wins,Losses,Coast,Full Team Name,Position
PHO,49,33,West,Phoenix Suns,6
NYK,50,32,East,New York Knicks,2
WAS,15,67,East,Washington Wizards,14
MIL,49,33,East,Milwaukee Bucks,3
ORL,47,35,East,Orlando Magic,5
TOR,25,57,East,Toronto Raptors,12
MEM,27,55,West,Memphis Grizzlies,13
BOS,64,18,East,Boston Celtics,1
SAS,22,60,West,San Antonio Spurs,14
SAC,46,36,West,Sacramento Kings,9
ATL,36,46,East,Atlanta Hawks,10
DEN,57,25,West,Denver Nuggets,2
BRK,32,50,East,Brooklyn Nets,11
MIA,46,36,East,Miami Heat,8
IND,47,35,East,Indianapolis Pacers,6
CHI,39,43,East,Chicago Bulls,9
LAL,47,35,West,Los Angeles Lakers,8
UTA,31,51,West,Utah Jazz,12
NOP,49,33,West,New Orleans Pelicans,7
GSW,46,36,West,Golden State Warriors,10
DET,14,68,East,Detroit Pistons,15
DAL,50,32,West,Dallas Mavericks,5
PHI,47,35,East,Philadelphia 76ers,7
OKC,57,25,West,Oklahoma City Thunders,1
CLE,48,34,East,Cleveland Cavaliers,4
CHO,21,61,East,Charlotte Hornets,13
LAC,51,31,West,Los Angeles Clippers,4
MIN,56,26,West,Minnesota Timberwolves,3
POR,21,61,West,Portland Trail Blazers,15
HOU,41,41,West,Houston Rockets,11
